Nota_P1,Nota_P2,Media_Trabalhos,Frequencia,Reprovacoes_Anteriores,Acessos_Plataforma_Mes,Status_Final
6.8,7.3,7.8,90,0,23,1
7.3,5.3,6.3,81,1,19,0
5.8,6.3,6.8,87,0,22,1
9.8,9.3,9.8,98,0,37,1
1.3,2.8,3.3,53,3,4,0
4.8,5.3,5.8,78,0,16,0
8.8,8.3,8.3,93,0,28,1
7.3,7.8,7.3,91,0,26,1
5.3,6.3,5.8,84,1,19,1
3.8,4.3,4.8,68,2,9,0
6.3,7.3,6.8,87,0,17,1
7.8,5.3,6.8,82,0,14,0
9.3,8.8,9.3,94,0,31,1
4.3,3.3,3.8,73,1,12,0
5.5,5.3,5.3,78,1,9,0
8.3,7.8,8.3,96,0,29,1
6.8,6.3,6.3,87,2,22,1
2.8,3.8,3.3,58,2,6,0
7.3,8.3,7.8,93,0,25,1
9.6,9.6,9.8,98,0,41,1
4.3,5.3,4.8,80,0,11,0
6.3,5.3,5.8,82,1,17,0
8.8,9.3,8.8,98,0,33,1
3.3,2.3,2.8,44,3,3,0
7.8,7.3,7.3,90,0,24,1
5.8,4.8,5.3,75,1,14,0
9.3,9.8,9.3,96,0,36,1
6.3,6.3,6.3,87,0,18,1
4.3,4.8,4.3,73,2,7,0
7.3,6.8,7.3,91,0,19,1
5.3,6.8,6.3,83,1,15,1
2.3,3.3,2.8,63,1,8,0
8.3,8.8,8.3,95,0,30,1
7.6,8.4,8.1,95,0,27,1
3.1,4.9,5.2,82,0,16,1
1.7,2.2,3.7,59,1,6,0
8.4,9.2,9.1,98,0,33,1
6.2,6.4,7.3,83,0,18,1
3.4,4.2,5.2,72,2,11,0
9.6,9.1,9.2,92,0,28,1
5.4,4.9,5.2,75,1,10,0
6.9,7.2,7.5,92,0,24,1
7.2,5.4,6.3,83,1,16,0
5.9,6.2,6.7,90,0,21,1
9.7,9.2,9.7,97,0,38,1
1.4,2.9,3.4,54,3,5,0
4.9,5.4,5.9,79,0,17,0
8.9,8.4,8.4,94,0,29,1
7.4,7.9,7.4,92,0,27,1
5.4,6.4,5.9,85,1,20,1
3.9,4.4,4.9,69,2,10,0
6.4,7.4,6.9,88,0,16,1
7.9,5.4,6.9,83,0,13,0
9.4,8.9,9.4,95,0,32,1
4.4,3.4,3.9,74,1,13,0
5.7,5.4,5.4,79,1,8,0
8.4,7.9,8.4,97,0,30,1
6.9,6.4,6.4,88,2,23,1
2.9,3.9,3.4,59,2,7,0
7.4,8.4,7.9,94,0,26,1
9.4,9.4,9.7,97,0,42,1
4.4,5.4,4.9,81,0,10,0
6.4,5.4,5.9,83,1,18,0
8.9,9.4,8.9,99,0,34,1
3.4,2.4,2.9,46,3,4,0
7.9,7.4,7.4,91,0,25,1
5.9,4.9,5.4,76,1,15,0
9.4,9.9,9.4,95,0,37,1
6.4,6.4,6.4,88,0,17,1
4.4,4.9,4.4,74,2,6,0
7.4,6.9,7.4,92,0,18,1
5.4,6.9,6.4,84,1,14,1
2.4,3.4,2.9,64,1,9,0
8.4,8.9,8.4,96,0,31,1
7.5,8.1,8.1,93,0,25,1
3.3,5.1,5.4,81,0,15,1
2.2,1.2,3.2,57,2,5,0
8.5,9.4,9.4,97,0,34,1
6.5,6.9,7.4,82,0,20,1
3.7,4.4,5.4,71,2,12,0
9.7,9.4,9.4,91,0,26,1
5.5,4.7,5.4,72,1,12,0
6.7,7.4,7.7,91,0,25,1
7.4,5.5,6.4,82,1,18,0
5.7,6.4,6.9,89,0,23,1
9.6,9.4,9.6,96,0,39,1
1.6,2.7,3.6,52,3,7,0
4.7,5.5,5.7,77,0,18,0
8.7,8.4,8.4,92,0,30,1
7.5,7.7,7.5,90,0,28,1
5.5,6.5,5.7,83,1,21,1
3.7,4.5,4.7,67,2,11,0
6.5,7.5,6.7,89,0,15,1
7.7,5.5,6.7,84,0,12,0
9.5,8.7,9.5,96,0,33,1
4.5,3.5,4.0,75,1,14,0
5.9,5.5,5.5,80,1,7,0
8.5,7.7,8.5,98,0,31,1
6.7,6.5,6.5,89,2,24,1
2.7,3.7,3.5,57,2,8,0
7.5,8.5,7.7,95,0,27,1
9.2,9.2,9.5,96,0,43,1
4.5,5.5,4.7,82,0,9,0
6.5,5.5,5.7,84,1,19,0
8.7,9.5,8.7,99,0,35,1
3.5,2.5,3.0,48,3,6,0
7.7,7.5,7.5,92,0,26,1
5.7,4.7,5.5,77,1,16,0
9.5,9.7,9.5,94,0,38,1
6.5,6.5,6.5,89,0,16,1
4.5,4.7,4.5,75,2,5,0
7.5,6.7,7.5,93,0,17,1
5.5,6.7,6.5,85,1,13,1
2.5,3.5,3.0,65,1,10,0
8.5,8.7,8.5,97,0,32,1
